alert_code,registry_slug,registry_exists,producer_wired,dedupe_mechanism,resolution_policy,episode_link,device_binding_aware,freshness_gate,notification_text_source,default_severity,repeat_policy,recovery_notification,telemetry_recovery_closes,plug_webhook_closes,reauth_closes,device_change_handling,gap_summary,audit_verdict
DEVICE_UNPLUGGED,device-unplugged,no,no,N/A,N/A,should link DimoDeviceConnectionEvent,N/A,N/A,N/A,N/A,N/A,N/A,no,no,N/A,N/A,No registry entry; no producer; open episodes never emit alerts,MISSING
DEVICE_RECONNECTED,device-reconnected,no,no,N/A,N/A,should close episode + optional info event,N/A,N/A,N/A,N/A,N/A,should be one-shot info,no,N/A (plug trigger disabled fleet-wide),N/A,N/A,No registry; DIMO plug-in trigger disabled (Phase 5); 0 plug events 60d,MISSING
TELEMETRY_OFFLINE,telemetry-offline,yes,no,semanticKey telemetry:offline in ActionQueue,STATE_RESOLUTION in registry,none (freshness-based not episode),no,yes 48h canonical,operationalIssueLabels + notification templates,WARNING,state re-eval on fleet-map refresh,yes when live returns,in-app via normalizeOperationalIssues only; registry producer unwired,partial,N/A,N/A,N/A,In-app attention works; persistent notification API not confirmed producer-wired,PARTIAL
TELEMETRY_SOFT_OFFLINE,telemetry-soft-offline,no (uses operational issue only),no,semanticKey telemetry:soft_offline,implicit state when signal resumes,none,no,24-48h band,operationalIssueLabels,attention (not critical),re-eval on refresh,yes implicit,ActionQueue dashboardAttention only,N/A,N/A,N/A,N/A,No dedicated registry slug; soft offline never blocks rental,OK_BY_DESIGN
AUTHORIZATION_REQUIRED,authorization-required,no,no,N/A,N/A,should link VehicleProviderConsent,N/A,consent expiry,N/A,N/A,N/A,N/A,no,N/A,yes when consent ACTIVE,token change,Integration Hub shows consent; no alert when CONNECTED+NONE (FC-P1-03),MISSING
DATA_SOURCE_DISCONNECTED,data-source-disconnected,no,no,N/A,N/A,vehicle_data_source_links,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,partial via integration-disconnected,N/A,Overlaps INTEGRATION_DISCONNECTED registry; not vehicle-level episode,MISSING
LOW_SIGNAL_COVERAGE,low-signal-coverage,no,no,N/A,N/A,readinessScore only in fleet tab,none,no,signalCoveragePercent,readiness label in fleet-connectivity,info,continuous while low,no,N/A,N/A,N/A,Readiness is coverage-only; no alert; not a hard block (correct),OK_BY_DESIGN
WEBHOOK_PROCESSING_FAILED,webhook-failure,yes,unknown,event fingerprint v1,EVENT_RESOLUTION + SHORT_EVENT_EXPIRY,webhook intake logs,partial,none,notification.body.webhookFailure,WARNING,event expiry,none,no,N/A,N/A,N/A,Registry exists; 60d VPS: 2/2 webhooks persisted 0 failed; producer wiring not traced,UNKNOWN
DEVICE_BINDING_CHANGED,device-binding-changed,no,no,N/A,N/A,should compare tokenId/stable serial,should be yes,no,N/A,N/A,N/A,N/A,no,N/A,N/A,yes on token change,No binding episode ID in schema (Phase 5),MISSING
UNKNOWN_CONNECTIVITY_STATE,unknown-connectivity-state,no,no,N/A,N/A,should surface review not connected,none,no,unknown freshness tier,Setup check / no_signal labels,info,until classified,no,N/A,N/A,N/A,treated as offline in isVehicleOffline when no lastSignal; not maintenance,PARTIAL
INTEGRATION_DISCONNECTED,integration-disconnected,yes,partial (integrations module),org fingerprint v1,STATE_RESOLUTION,org-level not vehicle,N/A,N/A,notification.title.integrationDisconnected,CRITICAL,mandatory in-app,on reconnect,org scope,N/A,yes,N/A,Org integration not per-vehicle connectivity truth,SEPARATE_DOMAIN
open_episode_recovery_rule,episode_closure_policy,N/A,N/A,N/A,must close on recovery,N/A,required,required,snapshot obdIsPluggedIn + telemetry resume,N/A,N/A,one-shot reconnected info,FAILS: event-only openUnpluggedEpisode,FAILS: plug webhook disabled,partial,partial,Open episode must close + resolve alert + optional reconnected info — none implemented for unplug (FC-P0-01/03),FAIL
