control,present,evidence,technicalGap,minimumModel,isoOrientedProcess,recommendedFrequency,effectiveAccessDataNeeded,severity,findingId
periodic_access_review_campaign,NO,Phase4 accessReviewsFound=0; no Prisma AccessReview model; no scheduler/job in IAM modules,Missing entities + worker + UI,AccessReviewCampaign (orgId period dueAt status) + AccessReviewItem (membershipId reviewerUserId decision evidence),ISO 27001 A.5.18 / A.8.2 access rights review; SOC2 CC6,Quarterly all members; monthly privileged,Canonical effective access per membership (role permissions station fieldAgent platformRole),P1,UR-P5-AR-01
privileged_access_review,NO,Last-admin checks enum-only; no privileged flag review queue,No privileged cohort definition operationalized,Filter memberships where ORG_ADMIN OR users-roles.manage OR billing.manage OR custom privileged,Privileged access review / joiner-mover-leaver attestation,Monthly,privileged boolean + permission manage modules + lastLoginAt + sessionCount,P1,UR-P5-AR-02
reviewer_assignment,NO,n/a,No reviewer role/workflow,Default reviewer=another ORG_ADMIN or platform; escalation reviewer,Segregation of duties,Per campaign,reviewerUserAlias + conflict if self-review,P1,UR-P5-AR-03
due_date_sla,NO,n/a,No due dates,dueAt on campaign/item + overdue state,Control monitoring,Campaign SLA 14d privileged 7d,dueAt status,P2,UR-P5-AR-04
attestation_confirm_revoke,NO,n/a,No confirm/revoke actions tied to review,Item decision CONFIRM|REVOKE|MODIFY + optional ticketId,Access certification,Per item,decision + resulting membership mutation id,P1,UR-P5-AR-05
evidence_store,PARTIAL_WEAK,activity_logs exist but iam auditAction rows=0 in prod; void record,Unreliable evidence chain,Append-only review evidence blob + link to activity_log id (awaited writes),Audit logging,Retain per retention policy,before/after effective access snapshot JSON anonymizable,P1,UR-P5-AR-06
export_for_auditors,NO,No access-review export endpoint,Missing export,Read-only CSV/JSON export of campaign results (aliases in audit mode),External audit support,Per campaign + annual pack,All item fields + org coverage counts,P1,UR-P5-AR-07
reminders,NO,n/a,No notification job for reviews,Reminder at T-3d T-1d overdue,Operational hygiene,Per SLA,reviewer + item counts,P2,UR-P5-AR-08
escalation,NO,n/a,No escalation path,Escalate to platform MASTER_ADMIN or security mailbox on overdue privileged,Exception management,When overdue,escalationTarget + privileged flag,P2,UR-P5-AR-09
effective_access_read_model_dependency,DEFINED_NOT_IMPLEMENTED,Phase3 canonical RM documented only,Cannot review what is not queryable as one truth,Implement EffectiveAccessReadModel service used by reviews+admin UI,Least privilege verification,Continuous + review-time snapshot,membership permissions vs role template drift class stationScope stationIds fieldAgent sessionsBound,P0,UR-P5-AR-10
dsgvo_access_oversight,NO,Phase4/7 gap notes,No periodic justification of access for personal data processors,Review items include data-domain tags (customers fleet documents),DSGVO Art.5/32 + access control,Quarterly,modules with personal data + access level,P1,UR-P5-AR-11
production_data_signal,NO_ROWS,iam-vps-organization-coverage accessReviewsFound=0 both orgs,Confirms absence empirically,n/a,n/a,n/a,n/a,P1,UR-P5-AR-01
