aspect,question,answer,evidence,organizationScoped,globalImpact,preliminaryRisk,findingId
field_boundary,Which fields belong to global identity?,"User: id email(unique) name firstName lastName passwordHash avatarUrl authProviderId platformRole status phone mobile address language timezone dateFormat mustChangePassword lastLoginAt lastLoginIp lastLoginDevice createdAt updatedAt. No organizationId on User.",backend/prisma/schema.prisma model User,no,yes,P1 — global profile/password/status affect all orgs,UR-P2-ID-01
field_boundary,Which fields belong to organization?,"OrganizationMembership: id userId organizationId role organizationRoleId roleLabel stationScope department position permissions(JSON) stationIds(JSON) fieldAgentAccess status(ACTIVE|INVITED|SUSPENDED|REMOVED) timestamps. Plus org-scoped prefs: UserAccountPreference UserNotificationPreference.",schema OrganizationMembership + preference models,yes,no (except via global User side effects),P0 — suspend/password/email paths mutate global User from org UI,UR-P2-ID-02
org_admin_power,Can an org admin change global identity data?,YES — updateOrgUser can patch User email name first/last phone mobile address language timezone dateFormat and User.status; changeOrgUserPassword updates User.passwordHash globally.,users.service.ts updateOrgUser + changeOrgUserPassword,yes (requires membership),yes cross-org,P0 — Org A admin changes credentials/profile used for Org B,UR-P2-ID-03
cross_org_impact,Can Org A affect access in Org B?,YES — (1) password reset changes shared credential; (2) status SUSPENDED sets global User.status blocking login/refresh for all orgs; (3) email change rewrites unique login identity; (4) no per-org password.,updateOrgUser userUpdate.status + changeOrgUserPassword,yes entry org,yes,P0 — tenant isolation broken for credential/lifecycle,UR-P2-ID-04
suspend_scope,Is suspension org-scoped or global?,GLOBAL User.status — FE deactivate sends status=SUSPENDED which sets User.status=SUSPENDED and does NOT set membership.status=SUSPENDED (membership remains ACTIVE). UI status badge derives from User.status when membership not INVITED/REMOVED.,updateOrgUser lines 610-613; mapOrgUser uses USER_STATUS_MAP[u.status]; UsersTab deactivate,intended org UI,global login block,P0 — Org A deactivate locks user out of Org B; membership enum SUSPENDED unused by this path,UR-P2-ID-05
delete_semantics,Is delete membership removal or global user delete?,"Org UI DELETE = removeOrgUser → membership.status=REMOVED (User row kept). MASTER_ADMIN users.delete = hard prisma.user.delete (cascades RefreshToken memberships etc).",removeOrgUser vs UsersService.delete; UsersTab handleDelete → deleteByOrg,org path soft; admin hard,hard delete destroys global identity,P1 — soft remove retains PII; hard delete orphan risk for historical refs,UR-P2-ID-06
data_responsibility,What happens to data responsibility and historical references?,"Soft remove keeps User + historical ActivityLog userId references. Hard delete cascades DB FKs with onDelete Cascade/SetNull per relation; no anonymization job. Audit descriptions may still contain emails from older LOGIN events.",schema relations; ActivityLog; no GDPR erase service for User,n/a,yes,P1 — H11 retention/anonymization incomplete,UR-P2-ID-07
email_uniqueness,Can same email map to multiple User rows?,NO — User.email @unique. Login/update normalize toLowerCase().trim().,schema @@unique email; auth.controller login; updateOrgUser email normalize,n/a,global unique,P2 — good constraint; no verified-email field,UR-P2-ID-08
email_normalization,Are emails uniquely normalized?,YES at write/login paths (lowercase trim). DB unique is case-sensitive by default in Postgres unless citext — reliance on app-layer normalization.,login + updateOrgUser + create paths,n/a,yes,P2 — residual case-collision risk if raw SQL inserts bypass app,UR-P2-ID-09
email_change_verify,How are email changes and verifications handled?,"Org admin or profile update can set User.email immediately with no verification challenge no confirmation email no verifiedAt field. Account self-service profile patch allow-list is firstName lastName phone mobile — email change is org-admin path primarily.",UpdateOrgUserDto email; account profile allow-list; no EmailVerification model,org admin write,global login identity move,P0 — account takeover via email rewrite without proof of control,UR-P2-ID-10
mfa_fields,Where do MFA fields live?,NO MFA columns on User or membership. Account DTO exposes twoFactorEnabled/Available passkeysAvailable hardcoded false; security activity returns twoFactorEnabled null.,schema; account.service buildViewModel; getUserSecurityActivity,n/a,n/a,P1 — H9 MFA not implemented,UR-P2-ID-11
role_scope_fields,Where do role and station scope live?,Org-only on OrganizationMembership (+ OrganizationRole templates). JWT carries membershipRole+organizationId snapshot. No roleVersion/permissionVersion fields anywhere.,schema + signAccessToken,yes,JWT snapshot global session claim,P0 — H3 H10 parallel truths + no version invalidation,UR-P2-ID-12
multi_membership,Multiple memberships per user?,YES — unique (userId organizationId) allows many orgs. Prod snapshot had multiOrgActiveUsers=0 but model supports it.,schema @@unique([userId organizationId]),yes,login/refresh selection risk,P0 — H4 non-deterministic selection when multi-org exists,UR-P2-ID-13
membership_status_values,Active inactive removed semantics,"ACTIVE used for auth. INVITED used for invite provisioning. REMOVED soft-delete from org. SUSPENDED enum exists on MembershipStatus but org deactivate path does not set it — sets User.status instead.",Prisma MembershipStatus vs updateOrgUser,partial,confused model,P0 — dual status model (User.status vs Membership.status),UR-P2-ID-14
profile_split,Global vs org profile fields?,"Global on User: name contact locale. Org-scoped: department position roleLabel station* permissions fieldAgentAccess; prefs defaultStationId defaultLandingPage; notification prefs per category.",schema User vs Membership vs Preference,mixed,org admin can edit global contact fields,P1 — unclear data ownership for DSGVO controllers,UR-P2-ID-15
