step,actor,component,action,secretHandling,deliveryChannel,audit,sessionEffect,controlPresent,gap,severity,findingId
create_invite,org_admin_or_users-roles.write,OrganizationInviteService.createInvite,Generate randomBytes(32) base64url token; bcrypt hash + sha256 lookup; store PENDING; expiry=inviteExpiryDays(7),Plain token returned in API as inviteToken+inviteUrl (once),TransactionalMailService (log fallback — sent:false) PLUS API response to FE,USER_INVITED void fire-and-forget,none,partial,Plaintext secret to FE; mail not production-wired; audit INFO not elevated for ORG_ADMIN,P0,UR-P5-INV-01
token_hash_storage,system,invite-token.util + OrganizationUserInvite,tokenHash=bcrypt; tokenLookup=sha256 hex,Hash/lookup in DB — plaintext not persisted after create response,n/a,n/a,n/a,yes,Comment says never logged but mail debug + API contradict,P1,UR-P5-INV-02
email_send,system,TransactionalMailService.sendOrganizationInvite,Build body with full inviteUrl; if SMTP_HOST set still fallback,inviteUrl in debug log body,log/debug only (no real provider),none for mail failure,n/a,no,Not email-only; secret may enter app logs,P0,UR-P5-INV-03
api_response,org_admin,organization-invites.controller create/resend,Returns inviteToken+inviteUrl to client,Klartext in JSON response,HTTPS API to browser,n/a,n/a,no_as_secret_channel,Violates secret-in-email-only principle,P0,UR-P5-INV-01
frontend_create,org_admin,CreateUserWizard.handleSubmit invite path,Calls api.organizationInvites.create; does NOT auto-clipboard inviteUrl,Response may still hold token in memory/network tab,SPA,none,n/a,partial,Create path no auto-copy but response still exposes secret,P1,UR-P5-INV-04
frontend_resend_clipboard,org_admin,InvitesTab+UsersTab handleResend,navigator.clipboard.writeText(res.inviteUrl) automatic,Plain URL+token on clipboard,clipboard OS,USER_INVITE_RESENT,n/a,no,Auto-copy increases shoulder-surf / paste leak risk; no step-up,P0,UR-P5-INV-05
list_invites,org_admin,listInvites mapInvite includeToken:false,List omits token/url,No re-display of old token via list,n/a,n/a,n/a,yes,Re-show only via resend (new token) — acceptable if email-only; currently returns new plaintext,P1,UR-P5-INV-06
resend_rotation,org_admin,resendInvite,New plain/hash/lookup + new expiresAt; old lookup fails,Old links invalidated on successful resend,mail fallback + API plaintext,USER_INVITE_RESENT,n/a,yes_rotation,Rotation OK; delivery/channel still unsafe,P1,UR-P5-INV-07
expiry,system,INVITE_EXPIRY_DAYS=7,expiresAt checked on validate/accept; markExpired,n/a,n/a,status EXPIRED,n/a,yes,No shorter TTL for ORG_ADMIN invites,P1,UR-P5-INV-08
single_use,system,acceptInvite status PENDING→ACCEPTED,Status gate; bcrypt verify before accept,n/a,n/a,USER_INVITE_ACCEPTED,none auto-login,partial,No DB row lock / unique accept race documented,P1,UR-P5-INV-09
rate_limit,public+org,app.module ThrottlerGuard,Global ~200/min/IP only; no @Throttle on public validate/accept or invite create/resend,n/a,n/a,n/a,n/a,weak,Invite brute-force / resend spam under-protected,P1,UR-P5-INV-10
admin_redisplay,org_admin,list vs resend,Cannot show same old link; resend mints new and returns plaintext,New secret to FE+clipboard,API+clipboard,USER_INVITE_RESENT,n/a,partial,No step-up before revealing new link,P0,UR-P5-INV-11
step_up_show_link,missing,n/a,None,n/a,n/a,n/a,n/a,no,Required for privileged invite reveal,P0,UR-P5-INV-11
admin_invite_extra_protection,org_admin,createInvite manage permission for ORG_ADMIN or custom permissions,users-roles.manage only — no MFA/shorter expiry/email-only/dual control,Same plaintext path,same,USER_INVITED INFO,n/a,no,Admin invites not stronger than worker invites,P0,UR-P5-INV-12
accept_spa_route,invitee,frontend router,buildInviteUrl → /accept-invite?token=… but no SPA route found under frontend/src,Token in URL query string if used,browser history/referrer risk,n/a,n/a,no,Broken joiner UX; token in query if deep-linked elsewhere,P1,UR-P5-INV-13
validate_public,anyone_with_token,POST /api/v1/invites/validate AuthGuard bypass,Returns organizationName membershipRole roleLabel email requiresPassword,No password proof,public API,none,n/a,partial,Token knowledge enumerates org+role; email in response,P1,UR-P5-INV-14
accept_new_user,token_holder,acceptInvite,Create User+ACTIVE membership; password required min 12; no email verification step,Password set by invitee,public accept,USER_INVITE_ACCEPTED+USER_CREATED,no session minted by accept,partial,No email OTP/verify beyond token possession; mustChangePassword=false,P1,UR-P5-INV-15
accept_existing_user,token_holder,acceptInvite,No login/session/password required; activates/creates membership; can reactivate REMOVED,Token-only binding to invite.email user row,public accept,USER_INVITE_ACCEPTED (+USER_REACTIVATED if REMOVED),existing sessions unchanged,no,Anyone with link binds existing account without re-auth,P0,UR-P5-INV-16
accept_high_risk_role,token_holder,acceptInvite ORG_ADMIN,No extra confirmation MFA step-up or dual approval on accept,Same,public,same INFO audits,none,no,Privilege escalation via stolen invite link,P0,UR-P5-INV-17
pending_invite_replace,org_admin,createInvite,Revokes prior PENDING for same email silently then creates new,Prior token invalidated,n/a,revoke may skip audit when audit=false,n/a,partial,Silent revoke path (audit=false) weakens evidence,P2,UR-P5-INV-18
logs_analytics_risk,ops,TransactionalMailService + request logging,Mail debug logs inviteUrl; request logger redacts query token,Secret in server logs possible,logs,n/a,n/a,partial,No FE analytics found; error boundary console only,P0,UR-P5-INV-03
