stepOrQuestion,behavior,codeEvidence,storesOrganizationId,storesMembershipId,deterministic,canCrossOrgIssueAccessToken,preliminaryRisk,findingId
login_first_org,Selects first ACTIVE membership with take:1 and NO orderBy — DB-dependent non-deterministic among ACTIVE memberships. INVITED/REMOVED/SUSPENDED memberships excluded by where status=ACTIVE. Does not check Organization.status separately.,AuthController.login include memberships where ACTIVE take:1,yes in JWT+response,no,NO,n/a (issues for chosen org),P0 — H4,UR-P2-MO-01
refresh_org,Re-selects newest ACTIVE membership orderBy createdAt desc take:1. Ignores which org was in previous access token.,RefreshTokenService.rotate memberships orderBy createdAt desc,yes rewritten in new JWT,no,partial (newest wins),YES if user has multiple ACTIVE memberships,P0 — H4 H5,UR-P2-MO-02
auth_me_org,Same as login: ACTIVE take:1 no orderBy.,AuthController.me,yes in response,no,NO,n/a,P1,UR-P2-MO-03
account_resolve_org,Prefer JWT organizationId if ACTIVE membership exists; else oldest ACTIVE membership orderBy createdAt asc.,AccountService.resolveMembership,uses JWT or oldest,no,partial (JWT then oldest),n/a,P1 — third selection algorithm,UR-P2-MO-04
org_without_user_action,YES — refresh can change organizationId claim if newest ACTIVE membership differs from login selection or membership set changes.,rotate vs login selection mismatch,JWT claim changes,no,NO,YES,P0,UR-P2-MO-05
removed_membership_reselected,NO — login/refresh/me filter status ACTIVE only so REMOVED not chosen. Caveat: org suspend leaves membership ACTIVE and sets User.status SUSPENDED — refresh then fails on user.status check not membership.,where status ACTIVE; rotate user.status!==ACTIVE throws,n/a,n/a,yes for REMOVED,n/a,P0 — suspend model inconsistency,UR-P2-MO-06
invited_membership_login,INVITED memberships not selected (filter ACTIVE). User with only INVITED cannot get org claim until accept/create activates membership.,login where ACTIVE,no org if none active,no,yes,n/a,P2,UR-P2-MO-07
refresh_token_stores_membership,NO — RefreshToken columns: userId tokenHash family expiresAt revokedAt replacedBy userAgent ipAddress. No organizationId membershipId roleVersion.,schema RefreshToken; createRefreshToken(userId),NO,NO,n/a,YES (rebind on rotate),P0 — H5,UR-P2-MO-08
token_family_stores_org,NO — family is UUID string only; no org/membership state on family.,RefreshToken.family,NO,NO,n/a,YES,P0,UR-P2-MO-09
session_binding,Bound to userId (+ family for rotation). NOT bound to organizationId or membershipId. Access JWT carries org snapshot until expiry.,RefreshToken + signAccessToken,access yes / refresh no,NO,n/a,refresh can mint other org,P0,UR-P2-MO-10
explicit_org_switch,NOT IMPLEMENTED — no switchOrganization API; OrgScopingGuard requires JWT organizationId match :orgId so multi-org user cannot call other org routes without new JWT.,grep no switchOrg; OrgScopingGuard JWT match,n/a,n/a,n/a,blocked by guard until refresh/login luck,P0 — no safe switch; accidental refresh switch possible,UR-P2-MO-11
switch_new_family,N/A — no switch. Login always creates new family via issueTokenPair→createRefreshToken new UUID. Refresh keeps same family.,issueTokenPair vs rotate,n/a,n/a,n/a,n/a,P1 — login multiplies families (prod 70 active),UR-P2-MO-12
refresh_A_issues_access_B,YES — opaque refresh is user-global; rotate loads newest ACTIVE membership and signs JWT for that org even if prior access was Org A.,rotate membership selection,new JWT may be B,no,NO,YES confirmed by design,P0,UR-P2-MO-13
spa_client_refresh,SPA stores only access token (synqdrive_token); refreshToken from login response discarded. Org claim frozen until re-login or hypothetical refresh client.,frontend/src/lib/auth.ts setAuth; LoginPage ignores refreshToken,frozen from login,no,login non-deterministic,cross-org via refresh unused by SPA today,P1 — long-lived 24h access; refresh path still dangerous for any client,UR-P2-MO-14
org_scoping_after_removal,Org-scoped API with JWT still pointing at removed org: AuthGuard accepts JWT; OrgScopingGuard fails ACTIVE membership check → 403. Non-org-scoped routes may still work until JWT expires.,AuthGuard + OrgScopingGuard,stale claim possible,no,n/a,stale JWT usable for non-org routes,P1 — H2 access token after removal,UR-P2-MO-15
master_admin_bypass,MASTER_ADMIN bypasses OrgScopingGuard membership checks; can access any :orgId.,OrgScopingGuard platformRole check,n/a,n/a,n/a,platform-wide,P2 — intended but high privilege,UR-P2-MO-16
