flow,exists,tokenModel,tokenHash,expiry,singleUse,rateLimit,sessionRevocation,userNotification,passwordPolicy,passwordHistory,multiOrgSafe,compromisedAccountPlaybook,targetPolicyAlignment,severity,findingId
forgot_password_ui,stub_only_LoginPage_contact_support,none,n/a,n/a,n/a,n/a,n/a,none,n/a,n/a,n/a,none,FAIL — no self-service token path,P1,UR-P5-PW-01
self_service_reset_link,missing_no_PasswordResetToken_model_or_routes,none,n/a,n/a,n/a,n/a,n/a,none,n/a,n/a,n/a,none,FAIL vs target policy,P1,UR-P5-PW-01
self_change_password_authenticated,YES AccountService.changePassword,n/a session JWT,n/a,n/a,n/a,@Throttle on account change-password + global,optional revokeOtherSessions (FE default true → others only),AUTH_EVENT UPDATE WARN void — no email,min 10 length only (weaker than admin 12),NONE,NO — changes global User.passwordHash for all orgs,partial self-revoke only,PARTIAL — lacks mandatory revoke-all + notify,P1,UR-P5-PW-02
admin_org_direct_password_set,YES UsersService.changeOrgUserPassword,none — admin types plaintext,n/a,n/a,n/a,global throttle only,NONE — no revokeAllForUser,USER_PASSWORD_RESET_BY_ADMIN void if !self — no email to user,min 12 length only,NONE,NO — org admin mutates global credential of multi-org user,none,FAIL — opposite of target (admin should request reset not set password),P0,UR-P5-PW-03
admin_master_direct_password_set,YES UsersController adminChangePassword,none,n/a,n/a,n/a,global,NONE,NONE (no userAudit on master path),min 12 backend; master UI client min 6,NONE,NO,none,FAIL + silent,P0,UR-P5-PW-04
admin_initiated_reset_token,missing,none,n/a,n/a,n/a,n/a,n/a,none,n/a,n/a,would be preferred,none,FAIL — target policy not implemented,P0,UR-P5-PW-05
mustChangePassword_gate,flag_only,n/a,n/a,n/a,n/a,n/a,n/a,UI badge only,n/a,n/a,n/a,none,FAIL — login/API ignore flag,P0,UR-P5-PW-06
password_history,missing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NONE,n/a,n/a,FAIL,P2,UR-P5-PW-07
complexity_breach_check,missing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,length only 10/12,n/a,n/a,n/a,FAIL,P1,UR-P5-PW-08
session_revocation_on_admin_reset,missing,n/a,n/a,n/a,n/a,n/a,NONE confirmed Phase4 data (0 revoked / survivors),n/a,n/a,n/a,NO,none,FAIL — target requires revoke after reset,P0,UR-P5-PW-09
user_notification_on_password_change,missing,n/a,n/a,n/a,n/a,n/a,n/a,NONE (invite mail path unrelated),n/a,n/a,n/a,none,FAIL — target requires notify,P1,UR-P5-PW-10
create_user_temp_password_clipboard,YES CreateUserWizard password path,admin-generated password,n/a,n/a,n/a,n/a,n/a new user,clipboard.writeText(form.password),min 12,NONE,NO if shared identity,none,FAIL — secret on clipboard,P0,UR-P5-PW-11
target_policy_definition,audit_only_not_implemented,short_lived_single_use_token,hash_at_rest,minutes_not_days,yes_consume_on_use,per_email_and_IP,revoke_all_or_defined_families_after_success,email_in_app_audit_CRITICAL,unified_strong_policy,disallow_last_N,org_admin_cannot_set_global_hash — only request reset,reset+revokeAll+notify+disable_until_change,DOCUMENT — implement in remediation prompts not Phase 5,P0,UR-P5-PW-TARGET
org_admin_global_credential_power,YES confirmed,n/a,n/a,n/a,n/a,n/a,none,optional audit,length,none,CONFIRMED_UNSAFE — Org A admin changes password used for Org B,none,BLOCKER for multi-tenant IAM,P0,UR-P5-PW-03
