event,accessTokenRemainsValid,refreshTokenRemainsValid,sessionsRevoked,immediateEffect,auditEvent,userNotification,currentRisk,recommendedTargetPolicy,findingId
password_changed_self,YES until JWT expiry (default/prod 24h),YES unless revokeOtherSessions=true (FE default true → other refresh revoked; current kept),other refresh optional via flag; current kept; no revokeAll,passwordHash immediate; API auth continues on old JWT; new login needs new password,AUTH_EVENT UPDATE WARN void,none,P1 — current session + JWT not forced reauth; revoke others opt-in server-side,Always revokeAllForUser except current; short access TTL; require re-login if mustChangePassword,UR-P2-SI-01
password_reset_by_org_admin,YES until JWT expiry,YES all families remain,none,passwordHash+mustChangePassword immediate globally; old sessions keep working; login with old password fails,USER_PASSWORD_RESET_BY_ADMIN void if !self,none,P0 — admin sets global password; no session kill; multi-org blast radius,revokeAllForUser; notify all membership emails; force mustChangePassword gate before any API,UR-P2-SI-02
password_reset_by_master_admin,YES until JWT expiry,YES all families remain,none,same as org admin; mustChangePassword true,NONE,none,P0 — silent credential reset,same + mandatory audit CRITICAL,UR-P2-SI-03
user_suspended_via_org_ui,YES until JWT expiry (AuthGuard no live status check),NO for new rotate/login (user.status!==ACTIVE rejected),none,global User.status=SUSPENDED; membership stays ACTIVE; blocks new login/refresh; existing access JWT still works,USER_DEACTIVATED void,none,P0 — global suspend from one org; JWT linger; membership status not suspended,org-scoped membership.SUSPENDED; revokeAllForUser; AuthGuard live status check or short TTL,UR-P2-SI-04
membership_removed,YES until JWT expiry for non-org routes; org-scoped routes 403 via OrgScopingGuard,YES (user still ACTIVE) — refresh may rebind to another ACTIVE org or null org,none,membership REMOVED immediate for DB guards,USER_REMOVED_FROM_ORG void,none,P0 — refresh can mint other-org token; access linger,revoke sessions for that membership/org; bind refresh to membership; force family revoke on last membership remove,UR-P2-SI-05
membership_reactivated,n/a (new access after login/refresh),existing refresh still valid,none,membership ACTIVE again; may be selected by login/refresh algorithms,USER_REACTIVATED void,none,P1 — sudden org availability via refresh without explicit login,require fresh auth on reactivation; explicit org select,UR-P2-SI-06
role_demoted,YES — RolesGuard uses JWT membershipRole until refresh/re-login; PermissionsGuard uses live DB (effective for @RequirePermission routes),YES,none,DB permissions/role immediate for PermissionsGuard; JWT role stale for RolesGuard,USER_ROLE_CHANGED / ROLE_ASSIGNED void,none,P0 — parallel truths; privileged JWT role claim stale,permissionVersion/roleVersion in token; revoke or refresh-force; RolesGuard read DB,UR-P2-SI-07
role_promoted,same as demote (JWT stale until refresh; PermissionsGuard live if ORG_ADMIN now),YES,none,DB immediate for PermissionsGuard ORG_ADMIN bypass,ROLE_ASSIGNED void,none,P1 — FE menu stale until re-login,push permission refresh endpoint; invalidate FE snapshot,UR-P2-SI-08
permission_removed,Access JWT unchanged (no perms in JWT); PermissionsGuard denies immediately on protected routes; FE hasPermission stale,YES,none,API enforce live; UI may show forbidden actions until re-login,USER_PERMISSIONS_CHANGED void,none,P1 — H10 FE stale,server-driven permission version + FE refetch,UR-P2-SI-09
station_scope_reduced,no token change; StationAccessService reads DB live,YES,none,data scoping immediate where service used,USER_STATION_SCOPE_CHANGED void,none,P1 — only if all consumers use StationAccessService,audit consumer coverage in Phase 3,UR-P2-SI-10
organization_switched,N/A — no switch API,N/A,N/A,N/A,none,none,P0 — accidental switch via refresh possible instead,explicit switch endpoint minting new family bound to org+membership,UR-P2-SI-11
mfa_enabled,N/A — MFA not implemented,N/A,none,none,none,none,P1 — H9,implement MFA + step-up; revoke/reissue tokens with amr/aal claims,UR-P2-SI-12
mfa_reset,N/A — not implemented,N/A,none,none,none,none,P1,admin MFA reset must revokeAll + audit CRITICAL + notify,UR-P2-SI-13
account_compromised_response,no automated kill-switch beyond manual logout-all / self revoke,manual revokeAllForUser / logout-all exists,only if operator/user invokes logout-all or revoke others,partial,REVOKE_ALL if logout-all used,none automated,P0 — no admin compromise playbook wired to password reset,password reset + revokeAll + notify + disable mustChangePassword gate,UR-P2-SI-14
refresh_token_reuse_detected,new access not issued; Unauthorized,entire family revoked (all non-revoked tokens in family),family only (not all user families),immediate for that family,logger warn + audit REFRESH path weak (no actorUserId on refresh audit),none,P1 — other families/sessions on other devices remain,optionally revokeAllForUser on reuse; alert user,UR-P2-SI-15
mustChangePassword_flag_set,YES — no API middleware forces change; LoginPage ignores flag,YES,none,flag stored; FE UsersTab shows badge only,password reset audits only,none,P0 — mustChangePassword ineffective as control,block all routes except change-password when flag set,UR-P2-SI-16
seed_admin_enabled_prod,n/a,n/a,n/a,bootstrap endpoint gated by env+token still exposed as public path,none,none,P0 — runtime ENABLE_SEED_ADMIN=true,disable in prod; remove public path,UR-P2-SI-17
