promptNo,phaseGroup,goal,scope,dependsOn,acceptanceCriteria,migration,vpsTest,securityTest,uiTest,risk
1,Baseline,Security regression harness for IAM,Add failing tests documenting current P0 behaviors (password no revoke; refresh org unbound; invite plaintext; RolesGuard no-op); CI gate,none,Tests exist and fail red until fixes land,no,no,yes,no,Low — docs/tests only
2,Credentials,Remove org-admin direct global password set,Delete/disable changeOrgUserPassword hash write path; replace with reset-request API stub returning 501 or new token flow,1,Org admin cannot set User.passwordHash; API contract updated,maybe,yes,yes,yes,High — breaks current admin UX
3,Credentials,Self-service + admin-requested reset tokens + session revoke,PasswordResetToken model; email delivery; consume token; revokeAllForUser; enforce mustChangePassword,2,Reset completes; all refresh families revoked; audit CRITICAL awaited,yes,yes,yes,yes,High
4,Sessions,Bind refresh to organizationId+membershipId,Schema RefreshToken FKs; issue/rotate preserve binding; reject cross-org refresh,1,Refresh cannot mint access for different org without switch,yes,yes,yes,no,High — session migration
5,Sessions,Explicit organization switch,POST switch-org validates ACTIVE membership; rebinds family; audits switch,4,Deterministic org context; no take:1 ambiguity,no,yes,yes,yes,Medium
6,EffectiveAccess,Central EffectiveAccessEngine,Single server module computing membership+roleVersion+overrides+station+fieldAgent; used by PermissionsGuard,1,Guard and GET effective-access identical results,no,yes,yes,no,High — auth core
7,Roles,Versioned OrganizationRole + assignment link,Add roleVersion; membership stores organizationRoleId+roleVersion; remove silent snapshot-only as sole truth,6,Role edit bumps version; assignment tracks version,yes,yes,yes,yes,High
8,Roles,Propagation + drift detection,On role publish: recompute or mark stale; admin drift report; optional force reissue tokens,7,Drift classifiable; privileged drift alerts,no,yes,yes,yes,Medium
9,Guards,Endpoint PermissionsGuard hardening,Require PermissionsGuard on org writes; fix RolesGuard no-op; close 122 gap domains,6,orgWriteWithoutPermissionsGuard=0 for new policy set,no,yes,yes,no,High — may break clients
10,Invites,Stop returning plaintext invite tokens to FE,API omits inviteToken/inviteUrl; real mail only; remove clipboard,3,Create/resend responses have no secret fields,no,yes,yes,yes,Medium
11,Invites,Secure accept for existing users,Require authenticated session matching invite email + re-auth; block REMOVED reactivate without approval,10,Unauth accept for existing user fails,no,yes,yes,yes,Medium
12,Audit,Transactional IAM audit outbox,Outbox row in same TX as mutation; worker; retry; DLQ; scrub PII; immutable store policy,1,Mutation rolls back if outbox insert fails; reuse/master reset audited,yes,yes,yes,no,High
13,JML,DeprovisioningService orchestrator,Suspend membership-scoped; remove revokes sessions+invites; ownership hooks stub,4,12,Remove user → refresh revoked; pending invites revoked,no,yes,yes,yes,High
14,Privileged,MFA foundation + step-up for privileged IAM,TOTP/WebAuthn; step-up token; gate admin grant password reset invite reveal remove export,3,6,Privileged actions require recent auth/MFA,yes,yes,yes,yes,High
15,Governance,Access review campaigns,Campaign/item model; privileged monthly; export; attest confirm/revoke,6,8,12,Review export works; overdue queue,yes,no,yes,yes,Medium
16,Privacy,Retention/erase/anonymize IAM,Invite prune; activity IP TTL; User anonymize orchestrator; legal hold flag,12,13,Configurable retention; erase runbook dry-run on VPS,yes,yes,yes,no,High — compliance
17,Security UX,Wire real sessions/MFA states in Security Activity,Replace placeholders with ENABLED/UNKNOWN/NOT_SUPPORTED; admin session revoke UI,4,14,No false-OK placeholders,no,yes,yes,yes,Medium
18,API,Stabilize IAM API contracts,OpenAPI for invites reset switch effective-access; version breaking changes,2-11,Contract tests green,no,no,yes,no,Medium
19,UI,Users & Roles redesign to 3-nav target,Team / Roles&Access / Security&Audit; KPIs; drawer A–E; Impact Preview; no password entry; i18n/a11y,6,10,14,17,Matches Phase7 wireframes; DE/EN; a11y tabs/dialogs,no,no,yes,yes,Medium
20,Observability,IAM metrics and missing-audit alerts,Metrics: audit lag; reuse; privileged grants; DLQ depth,12,Alerts fire on synthetic drop,no,yes,yes,no,Low
21,Validation,Staging replay + VPS reconciliation,Re-run read-only audit scripts; compare drift/session/invite metrics,1-20,P0 data signals cleared or accepted risk,no,yes,yes,no,Medium
22,Assurance,Security/pen/tenant-isolation tests,Cross-tenant; invite theft; refresh org hop; last-admin; step-up bypass,21,Pen-test checklist pass for IAM scope,no,yes,yes,yes,High
