component,path,purpose,mainUiElements,dataSources,loadingState,errorState,emptyState,placeholdersVsReal,hardcodedLocale,dangerousActions,mobileNotes,designSystemReuse,severity,findingId
UsersRolesTab,users-roles/UsersRolesTab.tsx,Shell for Access Control Center,PageHeader; 5 inner tab buttons; badge on invites,useAccessControlCenter,n/a shell,Keine Organisation geladen,n/a,n/a,DE only,n/a,overflow-x-auto tabs no scroll hint,PageHeader pattern,P1,UR-P7-UI-01
useAccessControlCenter,users-roles/useAccessControlCenter.ts,Data loader + KPI compute,n/a,users.listByOrg; invites.list; roles.list; stations.list,usersLoading rolesLoading,toast+error strings,filters REMOVED users from list,KPI client-side only,DE errors,n/a,n/a,sonner toasts,P2,UR-P7-UI-02
UsersTab,users-roles/UsersTab.tsx,Team list + KPIs + actions + drawer/wizard,5 KPI cards; search; 4 filters; DataTable+mobile cards; ConfirmDialog; password modal,parent users/invites/stations; users.* APIs; invites.resend,SkeletonRows,ErrorState if load fail empty,empty user copy,mustChangePassword badge real; no MFA column,DE,suspend remove password reset resend,md+ table / cards below; columns hide xl/lg,DataTable EmptyState ErrorState,P0,UR-P7-UI-03
InvitesTab,users-roles/InvitesTab.tsx,Invite lifecycle list,bucket filters pending/expired/accepted; table/cards; resend revoke,own invites.list (duplicate load),skeleton,error,empty per bucket,n/a,DE,resend→clipboard; revoke window.confirm,cards on mobile,DataTable patterns,P0,UR-P7-UI-04
RolesTab,users-roles/RolesTab.tsx,Role list + editor,system/custom lists; name desc membership station field-agent PermissionEditor PermissionPreview save,parent roles; organizationRoles CRUD/duplicate,loading,error,empty roles,PermissionPreview=capability list not blast radius; no roleVersion,DE + EN jargon,delete immediate no confirm; save no impact,xl sidebar layout; long editor scroll,bordered panels,P0,UR-P7-UI-05
AccessScopesTab,users-roles/AccessScopesTab.tsx,Station-centric user access view,3 KPIs; station filter; user lists by access type,parent users/stations derived,loading,error,empty stations,n/a,DE,navigates to user drawer only,list dense,cards,P1,UR-P7-UI-06
SecurityActivityTab,users-roles/SecurityActivityTab.tsx,Org IAM activity timeline,filters; Timeline,activityLog.listByOrg USER/INVITE/ROLE,SkeletonRows,ErrorState all fail,EmptyState,No MFA/sessions/failed-login dedicated views; empty may look calm,DE,n/a,timeline scroll,Timeline EmptyState,P1,UR-P7-UI-07
UserDetailDrawer,users-roles/UserDetailDrawer.tsx,User profile edit + security + activity,sections profile role scope permissions security activity; edit mode; footer actions,users.securityActivity; roles.list; updateByOrg; assignRole,drawer loading bits,toast errors,no activity empty text,2FA Nicht verfügbar; sessions —; mustChangePassword badge,DE,role grant admin; remove; password entry modal via parent,Sheet w-full sm:max-w-xl,DetailDrawer Sheet Radix,P0,UR-P7-UI-08
CreateUserWizard,users-roles/CreateUserWizard.tsx,5-step joiner,person role access invite/password summary,invites.create OR users.createByOrg; loads roles,saving flag,onError toast,n/a,clipboard password path,DE,temp password clipboard; invite create (token in API),max-h 90vh scroll; custom overlay no focus trap,custom modal not Dialog primitive,P0,UR-P7-UI-09
PermissionEditor,users-roles/PermissionEditor.tsx,Module permission matrix,grouped selects none/read/write/manage; CollapsiblePermissions; PermissionPreview first 12 lines,local PERMISSION_MODULES only — no server effective-access preview,n/a,n/a,n/a,no risk badges; no dependency tooltips; no bulk select-all guard,DE labels + EN groups Health,manage can imply privileged,max-h 420 overflow; poor mobile,native select,P0,UR-P7-UI-10
badges+constants+utils,users-roles/badges.tsx constants.ts utils.ts,Labels modules tabs audit labels helpers,MEMBERSHIP_ROLE_LABELS PERMISSION_MODULES ACCESS_CONTROL_TABS AUDIT_ACTION_LABELS,static,n/a,n/a,n/a,n/a,DE-hardcoded; mixed EN product terms,n/a,n/a,Status chips,P1,UR-P7-UI-11
SettingsView mount,SettingsView.tsx + AdministrationTabBar,Outer Admin → users tab,localized outer tabs,useRentalOrg orgId,n/a,n/a,n/a,n/a,outer i18n YES; inner UsersRoles NO,n/a,admin tab bar responsive,AdministrationTabBar a11y better than inner,P1,UR-P7-UI-12
